track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,entropy_amplitude,complexity_amplitude,entropy_flux,complexity_flux,entropy_harmony,complexity_harmony,entropy_spectral,complexity_spectral,higuchi_fd,box_counting_fd
6PSGzXHJaQogb2G8m8gGZZ,Yashraj;Dropped Out;Talwiinder,Dhundhala,Dhundhala,63,182400,False,0.648,0.45,5,-9.57,0,0.167,0.134,7.31e-05,0.137,0.472,99.932,4,hip-hop,0.8989652933921982,0.194770479342402,0.6720455719324632,0.3884864136088266,0.8081429121372782,0.2695118400508048,0.7051048132864145,0.43633743603652,1.4275850984876115,1.8418168575232696
01NsPGMDWGOrNWK9QylpHw,Mac Miller;Ty Dolla $ign,Hip Hop Slow Jamz,Cinderella,0,480186,True,0.408,0.533,8,-6.871,0,0.0536,0.235,0.0,0.345,0.239,140.069,4,hip-hop,0.864774227553868,0.2300209004544053,0.6938418653927302,0.3656195082394683,0.8320342412381868,0.2374211999932188,0.7128122947275698,0.4339653255787696,1.6868429375416558,1.8531594286461457
7fttjqzmvgvpRQoOzyYng3,Anirudh Ravichander;Dhanush,Velai Illa Pattadhaari (Original Motion Picture Soundtrack),Po Indru Neeyaga,63,223326,False,0.489,0.595,3,-3.788,0,0.0273,0.262,0.0,0.0813,0.459,144.859,3,hip-hop,0.887332646143998,0.1811791309610467,0.6820277351030503,0.374006110043701,0.7380276899286402,0.3174637162318382,0.7335794697262069,0.4249889710886253,1.736121190345485,1.870419388008194
6RVmuLStrBGHGJ0CJhRh0U,Kahlon,Gucci di Sole,Gucci di Sole,62,168020,False,0.658,0.87,7,-5.228,0,0.308,0.0113,0.0,0.351,0.376,90.235,4,hip-hop,0.8657342904622609,0.2215164272781538,0.7015806790584698,0.3703844143962878,0.841204061422066,0.2206378422478425,0.8022951259015815,0.3926323884119131,1.7628508788579074,1.8638475245067831
6i5QcWVTuzM67pXgD9Q7Vw,Anirudh Ravichander;Sam C.S.,"Kanne Kanne (From ""Ayogya"")","Kanne Kanne (From ""Ayogya"")",57,225558,False,0.684,0.489,1,-8.625,1,0.0595,0.639,0.0,0.105,0.375,87.104,4,hip-hop,0.875427492401376,0.2280483564709057,0.6887054442934651,0.3746728310299527,0.8366542553790618,0.2647274501757297,0.7112981492894553,0.4290176451217576,1.7401927576353498,1.8508263670460452
79blZUG11a6vtTL3Nt9J78,Arjun;Badshah;Bohemia;Diljit Dosanjh;Fateh;Gippy Grewal;Girik Aman;Gupz Sehra;Guru Randhawa;Hans Raj Hans;Harjit Harman;Harrdy Sandhu;Labh Janjua;Neha Kakkar;Ranjit Bawa;Sharry Mann;Sukhbir;Surjit Bindrakhia;Yo Yo Honey Singh;Amit Trivedi;Anand Raj Anand;Atul Sharma;B Praak;Beat Minister;Dr Zeus;Intense;Manj Musik;Mista Baaz;Preet Hundal;Vee;DJ Yogii,Punjabi Mashup,Punjabi Mashup,61,306572,False,0.418,0.931,2,-4.584,1,0.174,0.0028,7.71e-05,0.332,0.707,129.994,4,hip-hop,0.8994496592201513,0.1829615450991528,0.6889754998708929,0.3818466940732876,0.7696587601284862,0.2672431059707486,0.7875164178476495,0.4056801232657579,1.7090539761598709,1.8589311685942231
4r0LAir7t2WbMTae52XOo7,Gunna;Future;Young Thug,"#Multiverse, If the Multiverse Is Real",Pushin P,0,136266,True,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,1,hip-hop,0.7412082394751469,0.3197560869901832,0.6574997911394957,0.3960240294363456,0.6427174987240334,0.305263163601535,0.7638239951055023,0.4303555281394991,1.54126958016872,1.850651022346507
4Mh04VNolWA9g97ychP72l,Shubh,Offshore,Offshore,69,172054,False,0.801,0.346,5,-13.455,0,0.252,0.0468,0.00169,0.112,0.653,159.986,4,hip-hop,0.7453075208137979,0.2861598204954815,0.6916456799950499,0.3638892185244684,0.8190078465662163,0.2816148874011823,0.7062187276607349,0.4366692439006104,1.546373728464683,1.8544764017827424
2109dBho14Lqh2wr8goqAP,Anirudh Ravichander;Shweta Mohan,Thangamagan (Original Motion Picture Soundtrack),Enna Solla - The New Life of Tamizh,62,215999,False,0.621,0.515,5,-9.019,1,0.0453,0.616,0.000137,0.11,0.657,109.891,4,hip-hop,0.8859356119964721,0.2075655793131656,0.6712427944621826,0.3861165384028927,0.8264461164127272,0.2662746078121714,0.7261800446407334,0.4119403594428729,1.6649087266265437,1.8511017776777343
3T0oPETOdddxJ2xTt2qJe4,Arjun Kanungo;Momina Mustehsan,Aaya Na Tu,Aaya Na Tu,70,210000,False,0.665,0.539,11,-7.213,0,0.0474,0.825,5.85e-06,0.121,0.368,110.101,4,hip-hop,0.8613279123321982,0.2466659263891142,0.7257994883191167,0.3573822504850258,0.8840011269145182,0.2014589909435828,0.6848553766871402,0.4254796158149015,1.738600922110989,1.8544606568722004
